id,quality
1257,6
6409,6
136,5
1631,6
6084,5
5434,5
1094,6
5146,6
5921,6
1076,6
616,6
4336,7
219,6
6403,6
2397,7
5240,6
3696,6
1070,6
5890,6
1270,6
4641,6
5299,6
2494,6
5276,7
332,6
3671,5
6367,6
5681,6
1741,6
4715,6
1114,6
4105,6
825,6
88,6
4551,6
227,6
1369,6
3722,6
2341,6
4882,6
2382,6
4075,6
687,5
2350,5
2634,5
5751,6
5934,6
6286,6
6004,5
4696,6
5628,6
3066,6
6267,6
3950,6
1834,6
848,6
5852,6
3034,6
1074,6
1184,5
3788,6
3267,6
5640,5
2076,5
4634,6
2075,6
5741,6
5008,5
1485,6
2010,6
1899,6
3514,5
5819,5
5040,6
3998,6
6425,6
1733,6
2925,6
1528,6
2332,6
3492,5
6177,6
5338,6
2599,6
512,6
5118,6
4024,6
1095,6
965,6
1163,6
5773,6
4154,6
2968,6
2294,6
2652,5
4632,6
4585,6
754,6
3471,6
3506,6
1513,6
210,6
664,6
6414,6
2418,5
2468,7
1127,6
4820,6
495,6
6256,6
2732,5
3053,6
2954,5
3663,6
4410,6
2153,6
4691,6
2971,6
2616,6
102,5
1610,5
3766,6
3072,6
2951,6
2087,5
4593,5
6184,6
3347,14
2806,6
3083,5
1815,6
4814,6
6316,6
6480,6
6471,6
3173,6
3539,6
1247,6
2778,6
3534,6
963,6
708,6
4145,6
1594,6
5734,6
1304,7
3748,7
6189,6
3245,6
3697,6
1859,5
475,5
4161,6
775,6
2486,6
2791,6
3583,6
6186,6
5924,7
4788,5
2589,6
5305,7
3164,6
451,7
2376,6
13,6
4807,6
2748,5
4499,6
5033,6
2910,5
5570,6
2488,6
4109,7
4195,5
1881,6
2242,6
758,7
1474,6
5610,5
5587,6
1970,6
2657,6
4859,6
4333,6
6492,6
543,6
4270,6
3804,6
450,6
2786,6
3967,6
5568,6
2682,6
2277,6
3946,6
4308,6
856,6
1279,6
3987,6
5536,6
345,7
2172,6
2834,5
1286,6
6350,5
1908,6
5070,5
2933,6
1486,7
4128,5
1882,6
2937,6
4329,5
3839,6
4457,6
2773,6
4055,5
2437,6
1307,5
2912,6
987,5
5726,6
5554,6
3931,6
31,6
2800,6
3738,6
2716,6
270,6
5752,6
6226,6
3880,7
1258,6
2441,6
5410,6
5912,6
1411,6
3584,6
6234,6
4577,5
5471,6
2354,6
4310,6
4225,6
521,5
2938,6
5865,6
5590,6
372,6
6059,6
167,7
5936,6
5411,6
3507,6
3654,6
759,6
4614,6
4273,6
64,6
5986,6
4396,6
4671,7
3488,6
1642,6
3585,6
5097,6
4275,6
3157,6
3754,6
1045,6
4171,7
5257,6
277,7
3156,6
2513,6
6224,6
6300,6
2538,6
817,6
5565,6
4531,6
5999,6
2424,5
1056,5
2361,6
1896,5
804,6
4521,6
2337,6
980,6
3817,5
5550,6
2979,6
3357,5
2168,6
4570,6
4485,6
1830,6
4891,5
3284,6
1248,7
3168,6
2071,5
288,6
5346,6
4146,6
961,6
610,6
4727,6
479,6
4092,6
5548,6
5666,6
2394,6
3528,6
192,7
5749,6
3087,6
2813,5
3274,6
5594,6
1805,6
5193,6
436,6
400,7
356,6
4983,7
6441,7
4676,6
1191,6
5790,5
1314,6
2624,5
5625,6
3846,5
1718,6
4376,6
1837,6
5659,6
4591,6
1892,6
742,6
702,6
2174,6
172,6
255,6
1173,6
5078,6
425,5
3670,7
3355,6
662,6
2425,6
686,7
2836,6
292,6
1501,6
2282,6
2935,5
3934,6
3297,5
337,6
4643,6
3957,6
6133,6
5225,6
5913,6
4929,6
3364,6
1004,6
2201,6
5390,6
4444,5
4232,6
3204,6
2899,7
1640,6
974,6
5186,6
1680,7
4996,5
2302,6
5404,7
333,6
4023,6
2710,6
731,6
4424,6
4900,6
2195,6
5774,6
1431,6
3571,6
3940,6
3071,6
3502,6
4107,6
4223,6
2327,6
4181,6
216,6
5044,6
1898,6
3887,6
3740,6
419,5
5989,6
5266,6
2405,7
89,5
4832,6
5611,6
3391,6
464,6
1944,6
6080,6
1490,5
2873,5
145,6
3679,5
2444,5
1847,7
6280,6
185,7
3674,7
1268,6
5742,6
5034,6
1346,5
1773,6
5481,6
5343,6
2537,6
3711,6
1246,5
1867,6
480,5
